County,2022,2021,2020,2019,2018,2017,2016,2015
Alamance ,698,682,659,637,601,668,642,551
Alexander ,592,560,573,549,556,565,553,533
Alleghany ,561,526,509,513,514,512,538,533
Anson ,612,537,577,593,585,556,560,533
Ashe ,573,535,509,513,514,483,484,482
Avery ,649,599,566,575,598,560,591,524
Beaufort ,575,582,550,570,560,531,504,492
Bertie,550,533,589,593,595,556,484,467
Bladen ,550,526,509,513,514,483,484,467
Brunswick ,813,720,700,736,747,765,675,685
Buncombe ,1209,1099,826,799,660,713,664,723
Burke ,592,560,573,549,556,565,553,533
Cabarrus ,1014,1010,934,897,838,784,745,701
Caldwell ,592,560,573,549,556,565,553,533
Camden ,797,873,865,877,849,824,669,647
Carteret ,696,642,628,668,685,663,669,691
Caswell ,635,608,589,551,556,522,484,467
Catawba ,592,560,573,549,556,565,553,533
Chatham ,1030,974,934,902,847,834,796,737
Cherokee,583,548,516,568,576,556,484,467
Chowan ,685,647,633,673,650,568,573,533
Clay ,721,665,618,616,635,609,560,533
Cleveland ,550,545,559,596,612,553,531,501
Columbus,550,550,530,539,538,507,519,516
Craven ,771,750,719,676,689,623,684,562
Cumberland ,784,743,722,749,678,679,665,605
Currituck,1015,972,958,925,912,939,953,920
Dare ,895,852,790,771,735,672,678,653
Davidson,556,562,576,582,584,550,527,502
Davie ,664,670,617,583,594,611,569,561
Duplin ,560,530,509,539,558,534,526,502
Durham ,1030,974,934,902,847,834,796,737
Edgecombe ,639,604,572,555,553,589,540,533
Forsyth ,664,670,617,583,594,611,569,561
Franklin ,1073,1053,1022,949,893,861,818,774
Gaston ,1014,1010,934,897,838,784,745,701
Gates ,677,630,588,569,569,533,537,506
Graham ,550,540,563,544,518,483,509,467
Granville,670,630,621,618,625,591,548,572
Greene ,550,526,509,513,514,483,529,467
Guilford ,836,750,728,661,692,655,637,594
Halifax ,618,568,558,594,605,568,548,534
Harnett ,651,599,596,595,596,527,524,515
Haywood ,822,726,806,735,608,596,541,629
Henderson ,1209,1099,826,799,660,713,664,723
Hertford ,623,583,566,550,532,501,532,533
Hoke ,646,641,633,628,523,512,501,494
Hyde ,591,597,663,736,746,707,653,623
Iredell ,812,810,770,763,721,715,738,609
Jackson ,637,620,586,589,588,533,512,511
Johnston ,1073,1053,1022,949,893,861,818,774
Jones ,550,558,528,513,514,503,484,533
Lee ,723,682,643,644,649,607,574,593
Lenoir ,578,567,547,541,551,522,496,493
Lincoln,673,682,658,664,637,605,667,533
McDowell,597,588,572,582,581,553,528,467
Macon,695,625,590,597,586,547,552,535
Madison,1209,1099,826,799,660,713,664,723
Martin ,561,541,509,513,556,522,484,533
Mecklenburg ,1014,1010,934,897,838,784,745,701
Mitchell ,550,526,510,515,556,522,484,467
Montgomery ,561,537,533,555,563,527,526,499
Moore ,744,687,710,679,678,584,674,657
Nash ,639,604,572,555,553,589,540,533
New Hanover ,988,873,776,790,776,710,690,685
Northampton,575,526,509,513,514,483,484,473
Onslow ,737,721,723,667,673,666,656,629
Orange ,1030,974,934,902,847,834,796,737
Pamlico ,644,628,599,584,594,526,521,467
Pasquotank ,665,625,598,599,659,621,625,622
Pender ,772,692,637,694,693,621,593,497
Perquimans,655,660,661,669,637,593,592,569
Person,593,574,549,534,537,525,499,490
Pitt,734,704,620,611,595,626,583,533
Polk ,713,630,568,601,614,581,551,551
Randolph ,836,750,728,661,692,655,637,594
Richmond ,635,608,587,576,562,526,536,533
Robeson ,550,526,510,515,514,483,484,485
Rockingham,585,537,514,513,514,483,484,500
Rowan,712,724,681,673,619,554,531,524
Rutherford,567,526,509,513,549,544,629,533
Sampson,550,526,512,522,544,527,552,509
Scotland,550,526,509,526,522,485,492,490
Stanly,641,574,537,535,533,496,484,480
Stokes,664,670,617,583,594,611,569,561
Surry,587,545,514,517,538,527,583,533
Swain,579,608,589,593,595,518,533,477
Transylvania,711,536,570,594,622,567,546,498
Tyrrell,702,588,546,551,556,522,529,533
Union,1014,1010,934,897,838,784,745,701
Vance,640,608,589,587,571,514,495,486
Wake,1073,1053,1022,949,893,861,818,774
Warren,558,526,534,551,517,483,484,480
Washington,579,555,509,541,562,586,544,659
Watauga,741,660,677,706,705,672,675,656
Wayne,645,628,617,569,568,505,557,471
Wilkes,610,543,509,513,547,549,560,533
Wilson,680,682,657,638,661,636,540,528
Yadkin,664,670,617,583,594,611,569,561
Yancey,566,550,517,516,538,508,527,477
